2022;;;;;;;;;;;;;;;;;;;;;
Client;N° de dossier;;;Secteur;Localisation;Pays;Source;Leaser 1;Date dossier;Date facture ;Date paiement;Facture Leaser HTVA;Achat de matériel HTVA;Marge en € HTVA;# ordinateurs;#smartphones;#tablettes;;Taux de marge en %;Mensualité client HTVA;infos complémentaires
Win Finance ;;;;Finance  - courtage;Namur;BE;Google;Grenke;janv. 2022;janv. 2022;janv. 2022;10787,54 €;5 639,75 €;5147,79 €;3;1;0;;47,72 %;329,02 €;Oui
GSV Compta;;;;Comptabilité;Gerpinnes;BE;Meta;Grenke;févr. 2022;févr. 2022;févr. 2022;1431,23 €;710,68 €;720,55 €;1;0;0;;50,34 %;49,95 €;Non
Pierre Bertaux SCS;;;;Graphisme;Bruxelles;BE;Recommandation;Grenke;févr. 2022;févr. 2022;févr. 2022;3119,43 €;2 135,18 €;984,25 €;1;0;0;;31,55 %;97,95 €;Non
Leo Grigore - Webshop Solution;;;;Web;Charleroi;BE;Recommandation;Grenke;mars 2022;mars 2022;mars 2022;2032,95 €;1 415,76 €;617,19 €;1;0;0;;30,36 %;70,95 €;Non
Philippe Lallemand - Cil Expert;;;;Electricité;Charleroi;BE;Meta;Grenke;mars 2022;mars 2022;mars 2022;4649,68 €;1 745,63 €;2904,05 €;2;0;0;;62,46 %;146,00 €;Non
Cosy House Design SRL;;;;Construction;Walhain;BE;Recommandation;Grenke;avr. 2022;avr. 2022;avr. 2022;2149,00 €;1 362,81 €;786,19 €;1;0;0;;36,58 %;75,00 €;Non
Luc Malarme;;;;Santé;Namur;BE;Recommandation;Grenke;juin 2022;juin 2022;juin 2022;4777,07 €;1 674,92 €;3102,15 €;1;0;0;;64,94 %;150,00 €;Oui
Win Finance ;;;;Finance  - courtage;Namur;BE;Client existant;Grenke;juin 2022;juin 2022;juin 2022;1557,50 €;1 038,45 €;519,05 €;0;1;0;;33,33 %;55,95 €;Non
Happy Log NV/SA;;;;Restauration;Bruxelles;BE;Recommandation;Grenke;juil. 2022;juil. 2022;juil. 2022;3550,00 €;2 253,25 €;1296,75 €;1;0;4;;36,53 %;113,60 €;Non
GKS Services;;;;Librairie;Bruxelles;BE;Meta;Grenke;juil. 2022;juil. 2022;juil. 2022;4136,94 €;2 887,60 €;1249,34 €;1;0;1;;30,20 %;129,90 €;Oui
Cohea;;;;Coiffure;Bruxelles;BE;Meta;Grenke;juil. 2022;juil. 2022;juil. 2022;2786,62 €;1 065,00 €;1721,62 €;2;0;0;;61,78 %;95,00 €;Non
Komon SRL;;;;Mobilité ;Bruxelles;BE;Recommandation;Grenke;sept. 2022;sept. 2022;sept. 2022;1517,19 €;836,87 €;680,32 €;1;0;0;;44,84 %;52,95 €;Oui
We Are Up;;;;Restauration;Bruxelles;BE;Client existant;Grenke;sept. 2022;sept. 2022;sept. 2022;3519,43 €;2 643,83 €;875,60 €;1;0;2;;24,88 %;124,18 €;Non
Prosper Naci - Coach Naci;;;;Coaching sportif;Liège;BE;Meta;Grenke;oct. 2022;oct. 2022;oct. 2022;5763,28 €;3 758,20 €;2005,08 €;1;1;1;;34,79 %;161,75 €;Oui
Marie Sergi - Honesty;;;;Immobilier;Bastogne;BE;Recommandation;Grenke;oct. 2022;oct. 2022;oct. 2022;1709,53 €;1 108,53 €;601,00 €;1;0;0;;35,16 %;59,66 €;Oui
Nickel Renovation ;;;;Construction;Bruxelles;BE;Meta;Grenke;oct. 2022;oct. 2022;oct. 2022;17434,58 €;8 431,38 €;9003,20 €;6;1;0;;51,64 %;559,65 €;Oui
BETA SRL;;;;Transport;Bruxelles;BE;Meta;Grenke;nov. 2022;nov. 2022;nov. 2022;28127,06 €;13 302,00 €;14825,06 €;7;4;2;;52,71 %;852,25 €;Oui
Black Box;;;;Photographie;Charleroi;BE;Recommandation;Grenke;déc. 2022;déc. 2022;déc. 2022;2434,10 €;1 916,53 €;517,57 €;1;0;0;;21,26 %;84,95 €;Non
Ardenne Belge Tourisme ASBL;;;;Tourisme;Marche en Famenne;BE;Meta;Grenke;déc. 2022;déc. 2022;déc. 2022;5891,80 €;2 918,11 €;2973,69 €;2;0;0;;50,47 %;179,70 €;Non
DPO Consulting;;;;IT;Charleroi;BE;Meta;Grenke;déc. 2022;déc. 2022;déc. 2022;3151,27 €;2 028,00 €;1123,27 €;1;1;0;;35,64 %;98,95 €;Non
